,youtube_id,comment,like_num
36,AMILLER1820,president trump is someone who can help america develop and has a policy of confronting china,0
37,ANALZMAN,gskyer telescope  70mm aperture 400mm az mount astronomical refracting telescope for kids beginners   travel telescope with carry bag  phone adapter and wireless     https   amzn to 3p0wlmm          amazingggggggggggggggggggggg see amazing,0
38,ANDREODKIMBLE,joe might be right about not taking a penny off any foreign country in his life but i guarantee some dodgy foundation that he or someone close to him runs has,0
39,ANDROMEDAMaxima,3 21 30  because it is republic congress  look who they pick to ask the questions she is from india mexico for the second debate,2
40,ANGEXlm,trump is the winner,0
41,ANNUSA,sad that all the people aren t listening about the virus,0
42,ANONYMOUS,i am canadian  if i was american  i would be voting for trump,0
43,ARARATNOAHSARK,president biden has a mature mind than a tramp,2
44,ARTANIMALSLIFE,the longer you look this debate  the more you must disagree biden,0
45,ASWINRICHARDPETER,i admire the moderator s ability to control her laugh    take a bow,0
46,AUTUMN,not american praying for all of you  d  stay safe everyone   especially lgbtq  people    biden2020,0
47,AVERIANDERSON,bidens  brother is working for china and look who has not caught covid yet   not trump  biden also is raising our taxes and he supports abortion  that s screwed up man  there s also wayyy more proof biden is racist and his vp even says he assaulted someone and he knows he going to win cause the elections are rigged  there s proof too  mail men admitted that they through most of trumps votes away because they were told to  what has the us come to     i m scared for our future,1
48,AWolff,why is it that trumposo attacks ppl with no substance or knowledge  he just shoots his mouth to insult ppl  he deflects and lies every time   i cannot believe why ppl dont realize he is a con man   accusing the biden family of receiving money from russia  and smearing biden s son of getting a high salary in ukraine w o a background for the position,0
49,AY,dems are acting like everyone will loose preexisting conditions this has been debunked so many times  we are talking about twenty  million people which is a lot but the facts are not only premiums have at least double but also you need to pay the full deductible before it kicks in so your out of pocket if used is at least triple what you were paying  the twenty million that has it now have it for free  deductibles  premiums and prescription all paid  why do you think the middle class insurance had went through thee roof  we have to support all of people getting freebies and not paying zeroo or very few in taxes,4
50,AaironParker,wow,4
51,AaliyahAugustin,ugh i don t like trump he lies so much,0
52,AaronM,how come they don t talk about how to handle police brutality,5
53,AaronPicasso,all of this  is a f   ing joke,2
54,AbBand,biden only promise  and not doing anything  typical politician,9
55,AbbeyRobinson,they cant accurately predict the weather in a few days form now but they know the climate in 10 years lol give me a break,1
56,AbbottStockstill,mpin,0
57,AbcXyz,yes biden  you will make all people wear a niqab like all muslims women do,0
58,AbdiazizIbrahim,,0
59,AbdullaAlmalki,trump care about his own business only big liers trump biggest liers yes trump he didn t care about corona virus and still lie and the americans died daily,21
60,AbrahamAdams,trump family bought 100 of hotels in turkey,0
61,AbrahamLincoln,you think the moderator is good until you realize she  s not  much more subtle  with her bias  the last official trip he made was in india and he trump  just came back with the coronavirus out break  sure  i m quite sure we already we re in the middle of the pandemic  hey joe  why would a middle of the road moderate and patriot like you choose an america hating socialist like kameleon harris  chris wallace didn t show up because he remarked that teaching 2nd grade students was difficult  after trump told her she s handling this well  she now started to interrupt trump and allow biden to talk    she blew it  she was going to be different than wallace and now she is the same  i  m voting for trump and i do agree that the media is super unfair to trump  but i have to say this moderator did an amazing job  she was fair,93
62,AbrahamSheer,gotta say trump came prepared and really improved his game  he also roasted biden a few times and certainly set him up in the end,2
63,AbrarVlogzZ,i dare to mr  narendra modi to face a debate with public,0
64,AbstinAla,may god help americans this is scary watching from south africa,60
65,AbubakarrShekusesay,with a clear clarification  joe biden is ought to win the election base on on his presentation on how to rule the country with a well concised plan  that shows the road map to success,0
66,Acatchison,am i watching a debate or 2  old people arguing and calling names smh,1
67,Acetraveller,forget both biden and trump   i want this girl to be a president,5
68,AcidPen,a 100 trillion dollars       wow,0
69,ActionTv,nobody has done more for the black community    even if that were true  it would only be because everyone who  s tried before has either been assassinated or called an angry terrorist,0
70,AdamB,its up to you america vote for joe biden his for middle class and poor people     or vote for trump his for wealthy people    choose or loose your freedom for the wealthy people good luck america        go out 3th strong and vote                                         joe biden,3
71,AdamCovington,it s cute seeing sleepy joe lie so much,1
72,AdamMacdonald,trump  win,0
73,AdamPersky,biden  ko vs  trump ok,0
74,AdamScheter,if we get rid of trump then we will have a chance at a great country  that is my strong belief,0
75,AdamShahir,2 03 36 is when the debate starts  edit   seems like they abriviated it  the old video was 4 hours long,1
76,AdamSlodowy,dont be gelas  mr bayden mr trump  i think  you re  going to win this election  you  the right  person mr bayden  dont b s as  please,2
77,Addiis,notice how trump reflects answering questions with personal attacks at biden   russia gave him 3 million dollars  why did they give u that money   what does this have to do with what trump is going to do about countries interfering in the elections   also  there is no proof of this  this is a fallacy  even if it were true  this has nocorrelation with the topic at hand  and bc of this biden has started to use fallacious personal attacks too deflecting on trumps accounts in other countries and about international connections  again  this has no correlation to the topic  both are rich  both make tons of money  end of discussion on topic  this is not relevant,0
78,AdeleWhite,i hate trump,0
79,AdenDrangstveit,i  ve been checking on the votes  click on nevada  illinois  wisconsin  and minnesota please tell me i  m seeing things,0
80,AdilaLukac,biden2020                 trump2020,0
81,Adinayo,t,1
82,AdityaPatwardhan,joe s special juice started to wear off as the debate wore on   wonder what cocktail they created to inject him with,0
83,AdityaSaputra,americans don t panic   ok i may live in bulgaria  which used to be a part of the soviet block until 1989  but i like america  however  this is bulls t  veryobody panics  people panic  only some people are more brave  stupidly brave  well trined  ex cons  ex convicts  ex specialized ops  or not ex  but current for all of those  i don t get paniced easily  i ve been through some situations  and i have those as test  but i may panic in some situation  i have asthma  and i am not panicking  with that being said  it makes sense to tell people about the virus  to make them wear masks and do distancing  but try to lower the way you present the information  make people take measures to protect  while you make them believe it is not that scary  so no panic  you see what i mean,1
84,AdityaSeth,biden comment about mandatory masks all the time will cause civil war simply put  no way no way no way jose forget it get the virus and get over it that  s what we all must do or die,32
85,Adityaom,us is a really really really mature democracy,0
86,AdnanAdil,who yall suppot,0
87,AdolfoMartinez,trump looks like he  s playing with toy cars while biden  s speaking lol,20
88,AdranChong,from  china   wow really,0
89,AdrianDuty,horrible  disease that came china,0
90,AdrianGuzman,51 38 00,0
91,AdrianPascacio,blue win,0
92,AdrianaMendez,tell you what trumpers    let s have joe explains the 3 5 million dollar   if and when donald release his tax returns  cause joe s is under audit  and when you re under audit you just don t release the info,4
93,AdrianathegreatessAdrianathegreatess,joe biden is speaking all facts    donald trump did never say it was dangerous he just saying stay safe ik god got everybody everyone you can say he don  t but he do,9
94,Adrianosiilva,chuck todd you dirty marxist    you partisan hack    fk you,0
95,AgadorSpartacus,thanks for constantly recommending bs that is two months old or even 6 years on for news just for those who give honest opinions instead of thanking you for not being a useful tool for news   that  s saved for those who are your little minions nbc also showed themselves   they act like a very impartial if not more than slightly left leaning network   when they brought on the stations director  he didn  t answer her question   instead  he let us know of all the ways joe biden tripped up and god forbid we actually used alternative methods of power that many advanced countries of the world have been using for over ten years   it is just apparently unacceptable that the us used wind  solar  battery     it  s much more important that we have tens of thousands of workers die a slow and painful death and more importantly  we have been sending our young men and women to die fighting wars that our leaders claim originally are for one thing  but it always  always comes down to fighting for the oil   the news companies  which tell us what they want us to hear rather than the news   and so many other industries depend upon war and people dying for their living    they couldn  t care less about proven alternative methods and slowly making people more free by having other alternatives slowly integrated into our systems  to save the world we live in  but also to give people the choice to live where they want  how they want without having to sign up for the monthly payment to the   oil mafia    if you want to live off the grid and have the ability to integrate the methods you wish to use  well that is just unacceptable because they don  t want anything to happen to their income from their piece of the   oil  pie that we the people pay for and then have to pay all of these industries again and again for the luxury to use   never mind that it was our kids  husbands and wives used to get these corporations ahead   after all  we need to have things explained to us as if we are 7th graders and we will never have the intelligence to understand who is paying the price for this oil and that yes  we have had alternative means of oil and gas for everything from travel  heat and so many other things   why would they ever want to give you the freedom to choose for the things that your family paid for in the first place   god forbid  as they clearly displayed to us tonight,0
96,Againstthecrowds,can  t we be civil and still have v8s,21
97,AgnesLis,i like you both hope and pray that no matter who win as a president need to  help  living for others and help people really in need badly,0
98,AhYunLeong,us election 3 nov,0
99,AhmedHi,trump call me he said he will win,0
100,AidenDaye,trump  why would you want pexi glass  biden you stupid son of a,0
101,AinaRasoamiaramanana,i vote for donald trump and he is the best in the wholeintier world,1
102,AirHardNationJackCooke,donaldtrump https   youtu be qjugv8c8lgm  dumptrump asap,1
103,AjWood84,what s the point when biden has rigged the election anyhow,0
104,AkaSomeone1,how come the current president of america mentioned china in his very first sentence of the debate     mystical  also who is responsible for the 225 000 covid deaths nationwide   it  s not china  where has much less confirmed cases  provide free treatment for all citizens  and much less deaths   instead it  s trump,1
105,AkimaChhakchhuak,mr  trump hip hip hurray       from watching in mizoram,0
106,AkiraandakilahT,i love how biden is just laughing at  trump  lol lol trumps face,0
107,Akita,wow   everyone else who aint from america get your popcorn,1
108,AkjhaVishal,trump is the biggest buffon     he doesn  t get money from wall street   what a liar   he  s just one lie after the other what a joke and walking out of the 60min interview   what a joke,0
109,AlSun,i can  t stop laughing sooo hard,0
110,AlainaMcCarter,ok lessen if trump dose not win i am leaving america                                                                                                                                                                                                         vote red,0
111,AlanNg,obama and biden screw up america,0
112,AlanParkerReid,stupid liars   love the intro morons  i just wanted to hear the debate   not listen to your opinions,3
113,AlandreThopmos,do you want a life full of interesting things   do you want to have power and influence over others  to be charming and desirable  to have wealth  health  and longevity  contact the vampires creed today via email  vampirelord7878 gmail com,0
114,AlbertCk,hi  indonesia here  looking for true love  albert mixed chinese indonesia  who interested please mail me   al8 cal gmail com,0
115,AlbertMay,biden and harris 2020,2
116,Albertleo,mediator  the audience here in the halls have promised to remain silent  no cheers    audience when trump and biden walk in  cheers,1
117,AlbertoBv,search    bad decision the joe biden story,11
118,AldjAKue,trump is wafflin,0
119,AldonDekock,the accordion hands when he is lying big time,1
120,AlejandraOrozco,trump is on the phone sending tweets,0
121,AlejandroEspinoza,it  s not going to get any better no matter who wins what we have now is exactly what we will get if trump wins which means no progress when he said this desease which came from china i was like oml he is wayyyyyyy to rasice,0
122,AleksandarGjurcevik,trump 2020,0
123,AlertCulture,please  be biden,0
124,AlexAnaya,i want to first say i am thankful to god almighty for making me see this day and secondly to dr ogbeifun who restored my health back  i have been a herpes virus patient for some time now  i have been running here and there looking for help cure but none could help  i ran into a testimony by someone who testified how she was cured of a terrible disease by dr ogbeifun so i decided to contact the herbal doctor  i explained to him  and he said he can cure me  we started the process and he prepared herbs and sent them to me in my country and gave me directions on how i am to use it  i followed his directions and now to god be the glory he could cure me with his herbal mixture  i say once again thanks to dr ogbeifun for curing me of my herpes with his herbs  and in case you want to be cured of your disease too you can contact email  dr ogbeifunherbalhome7 gmail com call or whatsapp number  2348115204568 and dr ogbeifun say he have cure for some illness like this  cancer  diabetes ringing ear herpes  genital warts hpv  syphilis hiv  get your problem solved,5
125,AlexBajan,trump won this debate so easily,1
126,AlexChoyceIV,please stop,0
127,AlexFreed,joe  i am going to allow 11 million undocumented people to stay                   why  you lost me joe,0
128,AlexHughes,wow they like hitler  hmm so why did we join allies  is hitler really imbred,2
129,AlexJohnson,the moderator was so obviously biased  i never really supported trump but all these news channels who are supposed to be professionals and unbiased all clearly trying to force a narrative is appualling  every time trump spoke she would shut him up  but on the flip would always encourage is opposition to reply even when he didn t try to  shows she is trying to make sure he beats trump  shameful  moderators are meant to be fair,5
130,AlexKiller,seems worst fear for a man is a woman          they behaved,0
131,AlexKlein,this nbc mascaraed    sucks   biden 2020        biden is lying left and right  he wants to shut down the country again  vote trump if you want to survive economically,16
132,AlexLok,people who thinks bidden is better have clearly no idea what they sayng and are just media sheep,0
133,AlexLopez,trump 2020 yes,0
134,AlexPetrus,my names dustin kent  i got a job in welding makin 35 bux an hour  just got out of the pen  got some jail house tatties  picked up a female guard in there  worked out  i like to establish dominance  ill let out a wet fart right in your face to let you know im the boss  when i was in the pen i used to stare people down while i produced excrement cause im a testosteron filled control freak  i scrapped out 2 guys at the bar  i play xbox 1 for hours apon hours  im the boss,0
135,AlexPieri,trump2020 joe let s talk about the lab top and your crackhead son you want to run the country and that big payment from bill gate and george soros again to destroy black ppl let tell that joe,0
136,AlexS,i ve already seen it  trump wins  the chances of him winning again is 97 89   i also need him to be re elected  cause my life wouldn t make sense if he didn t,1
137,AlexZurita,i pray to usps that the pack make it,0
138,Alexaa,ethiopia is more very good  examination than american but  14  day no in the enter  the country  covd 19 disease  thank you so much apportion     how is the first man and  i  don t no truth  is  the god is know  thanks every body,0
139,AlexanderBlessing,no plan clueless this guy,0
140,AlexanderCooper,i vote for joe biden,0
141,AlexanderWilisow,trump reminds me of a kid playing a board game like monopoly  when the other person start winning  kids want to change the rules and turn the board game over he is poor looser  the real debate is in the comment section,1
142,AlexeyKravchenko,why is the debate committee so biased towards democrats,3
143,AlexoleEya,poooooor donal always mistreated,0
144,Alexzndervonbarksow,they are arguing about whos getting money from what forgien countries and not whats really important like the american people and our health physical mental health  and our stability to live through this deadly virus  financially and on health,4
145,AliHadadi,red is sus,1
146,AliHasan,this presidential debate has made these two old people like small kids fighting in front of their mama blaming each other,4
147,AlicCciaSunflower,biden makes me sick with all his lies,1
148,AliceKonadu,i think trump ist just tryna be nice so he can be it he  s rude so i  m voting john biden duh,1
149,AliceShaw,trump just keeps making things up,2
150,Alicemukbangmukbang,first of all  i live in india    no more to say   goodnight,0
151,AliciaMartinez,the modern cannon scientifically box because museum macropharmacologically heal without a hallowed responsibility  actually  alive christmas,0
152,Alive,29 01 00,0
153,Aliveintruth,which insane leader in this world would congratulate you on the way you handle coronavirus  name them,0
154,AliviaRobin,joe biden went off on him about their tax returns joe biden ate trump lunch,6
155,AllRichHardWhy,how s he going to run a whole country when he can t even keep his son from leaving laptops filled with evidence of his international crimes laying around,0
156,AllenBurkett,we have the best testing in the world  that  s why we have so many cases  really you people believe this crap,0
157,AllenReese,joe biden got this on lock we just need a little bit more like goku off of dragon ball z when you trying to make the spirit bomb,10
158,Allicat4,what is the relationship mr trump,0
159,AllisonSanders,trump    it  s not ma fault china  s fault,0
160,AlmaRFalconAmaya,go biden   he will be a good president for usa   out trump,1
161,AlondraCarbajal,go biden,1
162,AlphaSports,no greater crime was when 244 unarmed people was killed in the gulf war when bush was president    we all seem to forget those souls yet when hillary clinton was secretary of state we attacked her when 6 people were killed under her watch yet in this year alone the senate will pardon a president who let thousand of people die before he came out and said there was a virus  what wrong with this picture,0
163,AltameseGause,regarding climate change its best to think of the future and act for the future,12
164,AlusineMohamedKanu,omg welker is soooo beautiful,1
165,AlvaroDelgadillo,if the trump voters win mind you         let the smart ones leave the country to saftey  and let the evil  of the rich destroy themselves for they will learn the hard way,0
166,AlvinHuynh,why do the people running for president always gotta be old  not in a rude way but majority of older people aren t forward thinking not for the future but for their own gain,16
167,AlwaysGiveup,biden side quit your job trump side keep doing what your doing win win situation i call for a bomb,0
168,AlxisSosa,both sound childish but trump is the more convincing kid,5
169,AlysiaW,wierd how trump knows how much more lethal the disease was  and he stayed silent for 5 months,0
170,AmMb,trump loves to play the blame game    what a joke,0
171,AmaliaBishop,china  chiinna   russia  let s talk more  china,0
172,AmandaAdkins,they built cages trump used them,4
173,AmandaChaddicks,i vote for trump,0
174,Amandamorgan,why fight   why put the blame on each other or china covid 19 is here and the way it  s going i don  t think it  s going away any time soon it  s nature fighting back  just work together to come up with a solution  so we can live again please   thank you,0
175,AmbreaAdkins,i don  t remember the swine flu being like this covid 19  i don  t remember schools having to close early and start virtual classes not being able to go to events not being able to walk for graduation or anything,2
176,AmeliaM,maga,10
177,AmerMokdad,the equal ring systematically confess because unshielded successively squeeze than a miscreant move  overt  unruly back,0
178,AmericALovely,is this the best that the us can come up with,0
179,AmigoInstructor,house of cards,0
180,AminaBakar,trump just go back to operates your family  exactly you can t leading american people s coz your  mental capacity does not working anymore,2
181,AminaShah,trump supporters who are now hiding in the crevices please do america a favor and leave the country,1
182,AmmarAnwar,fact check just because joe biden said he didn t say it doesn t mean it s so  here s the video  we have predators on the streets,0
183,AmnieLove,blame covid deaths on the democrats   all they do is point fingers during elections and so nothing in the meantime   if they are so great  why haven t they taken the lead on covid and did what they now brag they can do about it   don t waste your votes on idiots,0
184,AmourrDeanna,where is trump s mask     didn t he have covid 19 for like 4 days,5
185,AmyJoynson,bloody glad i live in australia,0
186,AmyRobertson,trump is so offensive  no humanity or compassion  scary,0
187,AmyStraker,go trump,1
188,AmyZ,prince harry meghan markle one russian canadian island mansion  one monte secto house in santa barbara  and mm personal russian diamonds  and they want u to believe she s not controversial,3
189,AmyliahBernard,vote joe biden pls pls i whold like you r vidoe  on tiktok pls,0
190,AnNatole,trump pence keep america great makeamrica great again,0
191,AnaGheorghiu,i can t understand why donald trump is bringing joe biden s family when they are talking about the future of america  this is not a personal problem   joe has arguments based on what he did and did not  but trump all can say is that his family is taking mone from sthem to them to them  i m sorry but are we talking about money when your people  your  money   are dying everyday,13
192,AnabelleLobasso,this moderator was fantastic,0
193,AnarchySuicide,sorry but i payed more on my taxes this year  then trump did,0
194,AnastaciaFernandes,right answer is from biden  he has great plan to combat pandemic,0
195,AnastasiaKotyk,tremendous       lol,0
196,AnchalSingh,i m christian and i ll be for biden why did you delete your twitter account,43
197,AndersonJackiesRandallFernando,the accordion hands when he is lying big time,0
198,AndraLyons,trump running against biden wow biden smart just looking to biden he wants to laugh just by listening to trump      when trump talking he always be moving his hands always,9
199,AndrdosSantos,please   for goodness sake  please stop juicin joe up before these public appearances   even if he were elected   at this rate  there is not going to be much of him left    its very apparent he can barely handle the amount you are giving him    i sincerely fear for his health at this point   if his team doesn t stop bumping him up so often    eventually they are going to overamp him    is it not enough to prompt him through these events   you feel you have to juice him up as well    ol cotton eyed joe  is not funny anymore    its just sad   and inhumane    stop juicing joe,0
200,AndreP,i vote for joe biden,14
201,AndreaDelaCruz,this is the best movie i  ve ever seen,1
202,AndreaLuther,trump 2020,0
203,AndreaT,email scandal of  joe bide   he will sell usa to china for next 4 years,0
204,AndreiBogdan,making sure everybody has an even chance  how about let jo jorgensen speak  guess what her silence won my vote everyone has a right to speak,5
205,Andrew,hahaha  trump is loosing to the worst contender president sleepy joe biden,0
206,AndrewDon,at this point get a warrant for the tax returns because he will never voluntarily release the millions of prepaid tax dollars he s paid,0
207,AndrewEnochs,biden seriously talk about politics president trump did not create this virus so that you can actually leave the country but all you want to do is blame him even though it s just a virus and it did not come from him you can t talk about anything else you blame him for the death of the thousands of people which is absurd but you can t even talk about what you would do for our country you re a joke,1
208,AndrewHayes,president trump doesn t panic at 1 16 45 i felt bad for biden  it really looks like he was sincere about regretting those drug laws    trump continued his assault on biden while he was stunned    honestly i think both pics for president aren  t all that great  but at least biden isn  t as plastic as hillary was in the last election  with her porcelain doll fake smile  trump i mean president trump got sleepy joe on lock                 trump 2020 your wife family run into american,0
209,AndrewJames,i m watching the debate what a joke how can i smile but all these horrible things going on in our country biden what is wrong with you we have a great leader his name is donald trump i have nothing to say that trash but no facts to back up what you re saying,12
210,AndrewKnecht,i hope obiden realizes fracking has nothing to do with stormy daniels,0
211,AndrewMarto,easy win for trump,12
212,AndrewOrlowski,if trump loses  then america will become bolshevic country  democratic electorat very soon will start to squill and regret  but too late   americans   patriots   president s donald trump opposition  democrats  very actively tried to remove him from the office which    people  elected him to hold  using sinister tactics right from the beginning of his presidency    sabotaging all of his efforts     initiatives instead of being supportive     contributing in to benefit of presidency and all of americans    democrats did real harm to legally elected president and americans    i am not surprised  that some time he acts   in verbal way  to defend himself and his policies  democrats induced in the president donald trump post traumatic stress disorder  p t  s d    he experienced harm to himself  presidency   for 4 years on regular  public  global way from democrats  directly   indirectly     his record of excellence is big  big  big and is very impressive  democrats could and can t accept fact  that donald trump is a   genius and he did more good then them and that he stopped their plunder and destruction of every thing what america stands on     represents historically   globally  democrats want to destroy america   americans  support donald trump in his legal challenges after count  europe   germany  did milk america for many decades  it is difficult to start to pay own dues  selfishness               trump is the best president ever,0
213,AndrewStern,video just started and biden took off his mask   trump just walked up,4
214,AndrewTheDon,biden should be in jail not on stage,28
215,AndrewWells,missed opportunity   biden talked about drug reform focused on cocaine trump should have said  see policy to enrich his family again  u all seen the pics of his son with a crack pipe in his mouth  lmao,0
216,AndrewWilkinson,mandalorian spoilers ahead   hello again  we wanted to give a quick spoiler warning to those of you who haven t yet been able to see last week s new episode for the mandalorian  our next video will be focused directly on a major plot point in the episode  as you may have heard  the episode contains a major reveal related to the star wars universe  this is a development that was widely reported last may  and several major news sites have speculated broadly about it in the months since  and now  several days after the episode released  disney has publicly released photos and press releases proclaiming this plot event far and wide  with virtually every star wars diehard capable of seeing the episode by now  and news entities with far greater reach than this channel discussing it openly  we feel comfortable releasing a video with this news in the title and thumbnail of the video  that video will upload in the next hour or so  so one final warning  if you have not yet seen the season 2 premiere of the mandalorian on disney   and you care about getting spoiled  we advise you to take one of the many precautions available to you    muting notifications  alerts  keywords    or just avoiding youtube    to protect yourself from a broadly discussed news story currently happening all over the internet  thanks,0
217,AndrewYoung,trump2020 make american great     biden liers shouldn  t even be in vices president,0
218,AndriusTrijonis,the fact that both candidates are even talking about first responders  saving lives in the context of poverty  what has this country come to,0
219,AndrosC,trump loses idk what we gonna do,2
220,AndrzejGebala,joe biden you are very smart more smarter than trump you deserve be the new president god bless you,0
221,AndynewsVlog,https   youtu be z hvhlvrbfw trump is no1,1
222,Angeano210,joe is all talk trash and talk trump all the way,0
223,Angel513,how many times is trump going to say it s china fault,0
224,AngelGabriel,trumpbledorf  s inability to directly speak to families  as instructed  showcases more than just his total lack of empathy and humanity  never mind humility   never a man of the people just a man out for himself,1
